,Time,viewCount,likeCount,dislikeCount,videoTitleSentimentScore_pos,videoTitleSentimentScore_neg,captionSentimentScore_pos,captionSentimentScore_neg,captionSentimentScore_com,videoTitleSentimentScore_com,num_days_since_pub,viewcounts_weighted,like_count_weighted,dislike_count_weighted,like_dislike_ratio,weighted_like_dislike_ratio,like_dislike_ratio_by_viewcounts_weighted,weekday,price,future_price,percent_change
92,2020-10-14 20:30:00,9850.56,225.48,6.96,0.0828,0.0,0.12048,0.02304,0.8791959999999999,0.1519319999999999,37.32,261.73629258741744,7.913755012530371,0.1767902590747901,0.9729480272465668,0.9729480272465668,254.20228022531657,2,563.6300048828125,558.7999877929688,-0.8569481837376602
93,2020-10-14 21:30:00,11108.24,241.92,8.12,0.08056,0.0,0.11336,0.02296,0.8391600000000001,0.144436,33.04,308.30577970934576,8.703961474035644,0.2226581367423282,0.9721198212079216,0.9721198212079216,297.7795945772657,2,563.6300048828125,558.7999877929688,-0.8569481837376602
94,2020-10-15 12:30:00,9804.08,225.12,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,36.96,254.7399663435152,7.686869184461655,0.1763595983202777,0.9728251534652348,0.9728251534652348,247.30766107604688,3,554.8400268554688,556.39501953125,0.2802596425124815
95,2020-10-15 13:30:00,9804.42,225.12,6.96,0.08056,0.0,0.11944,0.02336,0.8791800000000001,0.144436,36.96,254.7685139625628,7.686869184461657,0.1763595983202777,0.9728251534652348,0.9728251534652348,247.33548285013293,3,553.1199951171875,555.969970703125,0.5152544856624974
96,2020-10-15 14:30:00,9805.2,225.12,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,36.96,254.83746804316655,7.686869184461655,0.1763595983202777,0.9728251534652348,0.9728251534652348,247.4026901020936,3,556.6900024414062,555.530029296875,-0.2083696742251728
97,2020-10-15 15:30:00,9805.6,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,36.96,254.8720251348205,7.693535851128322,0.1763595983202777,0.97286547604588,0.97286547604588,247.44084377706807,3,559.97998046875,553.780029296875,-1.1071737183684929
98,2020-10-15 16:30:00,9806.04,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,37.04,254.8429450278608,7.691058505447197,0.1762915941451612,0.97286547604588,0.97286547604588,247.41317000779227,3,558.7999877929688,552.4600219726562,-1.134567995492053
99,2020-10-15 17:30:00,9806.76,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,37.12,250.1710023495584,7.639792804964105,0.1739920772369486,0.97286547604588,0.97286547604588,242.94613720342585,3,558.7999877929688,552.4600219726562,-1.134567995492053
100,2020-10-15 18:30:00,9807.24,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,37.24,250.07432052377484,7.634686430916227,0.1738367760628067,0.97286547604588,0.97286547604588,242.85264093469465,3,558.7999877929688,552.4600219726562,-1.134567995492053
101,2020-10-15 19:30:00,9807.76,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.8791800000000001,0.144436,37.32,249.2780043449084,7.579124933590024,0.1736897172392773,0.97286547604588,0.97286547604588,242.0585869037494,3,558.7999877929688,552.4600219726562,-1.134567995492053
102,2020-10-15 20:30:00,9808.28,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.87918,0.144436,37.4,248.6455786594827,7.526743981209071,0.1727373362868964,0.97286547604588,0.97286547604588,241.44387261202644,3,558.7999877929688,552.4600219726562,-1.134567995492053
103,2020-10-15 21:30:00,9808.72,225.16,6.96,0.0805599999999999,0.0,0.11944,0.02336,0.87918,0.144436,37.4,248.6711273477752,7.526743981209071,0.1727373362868964,0.97286547604588,0.97286547604588,241.4686597460187,3,558.7999877929688,552.4600219726562,-1.134567995492053
104,2020-10-16 12:30:00,10129.16,230.64,7.0,0.0834,0.0,0.11876,0.02252,0.8790840000000002,0.143476,37.6,333.3685773336864,14.709354574295537,0.2088299346386714,0.9722676723736844,0.9722676723736844,325.1742044594029,4,556.39501953125,548.719970703125,-1.3794244302529957
105,2020-10-16 13:30:00,10132.22,230.76,7.0,0.0834,0.0,0.11876,0.02252,0.8790840000000002,0.143476,37.6,336.27664292700786,14.829354574295532,0.2088299346386715,0.972270807023358,0.972270807023358,328.0731584524955,4,555.969970703125,549.1300048828125,-1.2302761265436946
106,2020-10-16 14:30:00,10137.48,230.84,7.0,0.0834,0.0,0.11876,0.02252,0.8790840000000002,0.143476,37.6,341.2747874497976,14.909354574295534,0.2088299346386714,0.9722728529155692,0.9722728529155692,333.0498872617225,4,555.530029296875,547.6300048828125,-1.422069734747089
107,2020-10-16 15:30:00,9853.76,229.36,6.88,0.0741599999999999,0.0,0.12,0.0236,0.8791720000000001,0.135384,37.36,323.8837846402188,14.98147280089652,0.2002585060672428,0.9738579395837794,0.9738579395837794,316.47234781548246,4,553.780029296875,537.6400146484375,-2.914517280251183
108,2020-10-16 16:30:00,9856.72,229.6,6.88,0.0741599999999999,0.0,0.12,0.0236,0.8791720000000001,0.135384,37.44,326.3990418643264,15.143651748935987,0.2001929449426518,0.9738632189114264,0.9738632189114264,318.9854683461362,4,552.4600219726562,539.9398803710938,-2.266252960143089
109,2020-10-16 17:30:00,10163.24,234.96,7.08,0.0897999999999999,0.0,0.11752,0.02304,0.8790680000000002,0.152528,36.08,346.195997640232,15.542167290054063,0.2131227914723588,0.9740022558240964,0.9740022558240964,338.13309234865017,4,552.4600219726562,539.9398803710938,-2.266252960143089
110,2020-10-16 18:30:00,10167.04,235.16,7.08,0.0897999999999999,0.0,0.11752,0.02304,0.8790680000000002,0.152528,36.2,349.26958263629865,15.73734737996923,0.2129767253099631,0.9740066855029448,0.9740066855029448,341.2046260182916,4,552.4600219726562,539.9398803710938,-2.266252960143089
111,2020-10-16 19:30:00,10072.52,230.16,6.92,0.0834,0.0,0.1196,0.02268,0.8790560000000001,0.143476,34.72,347.5399630607828,15.613530517425549,0.2051350835685207,0.973420021678482,0.973420021678482,339.54571738607143,4,552.4600219726562,539.9398803710938,-2.266252960143089
112,2020-10-16 20:30:00,10155.32,231.76,7.0,0.0834,0.0,0.11876,0.02252,0.8790840000000002,0.143476,38.04,349.4527535305434,15.582054326949358,0.2053096867431239,0.9722957978984604,0.9722957978984604,341.4431130467244,4,552.4600219726562,539.9398803710938,-2.266252960143089
113,2020-10-16 21:30:00,10156.08,231.88,7.0,0.0834,0.0,0.11876,0.02252,0.8790840000000002,0.143476,38.04,350.06437057050834,15.66705432694936,0.2053096867431239,0.9723353296130526,0.9723353296130526,342.0587692556668,4,552.4600219726562,539.9398803710938,-2.266252960143089
